,Source,Likes,Text,Image,Retweets
0,Twitter for Android,1,"Canada’s ‘Freedom Convoy’ in response to vaccine mandates for truckers arrive in Ottawa, January 29, 2022 (on anniversary of Quebec City mosque shooting)
https://t.co/ZOlOHVldYk https://t.co/ZEcZBvfi5T",https://pbs.twimg.com/media/FKTxotTX0AUvCy2.jpg,1
1,Twitter Web App,0,"RT @BLNewsMedia: WE ARE LIVE 

https://t.co/wgPe1edziN https://t.co/HFWtQYQeA7",https://pbs.twimg.com/media/FKSn3z5XEAAM-AJ.jpg,0
2,Twitter Web App,0,"Freedom Convoy 2022- East Coast to Ottawa
https://t.co/PSreiF0Wwb
https://t.co/lhKKU5pFwg https://t.co/XvK2eY1OZJ",https://pbs.twimg.com/media/FKTuN6PXIAIbVQM.png,0
3,Twitter for Android,0,RT @ElCid30639603: 🇨🇦💀   Convoy For Freedom 2022 https://t.co/UznEbJiXNo,https://pbs.twimg.com/media/FKSK-x3XEAo0B26.jpg,0
4,Twitter Web App,0,https://t.co/L2aVSN4TYC https://t.co/F6NEbQUhRB,https://pbs.twimg.com/media/FKTpomxX0AE6Lxp.jpg,0
5,Twitter Web App,0,"RT @BLNewsMedia: WE ARE LIVE 

https://t.co/wgPe1edziN https://t.co/HFWtQYQeA7",https://pbs.twimg.com/media/FKSn3z5XEAAM-AJ.jpg,0
6,Twitter for iPhone,0,"RT @BLNewsMedia: WE ARE LIVE 

https://t.co/wgPe1edziN https://t.co/HFWtQYQeA7",https://pbs.twimg.com/media/FKSn3z5XEAAM-AJ.jpg,0
7,Twitter for Android,0,RT @RimmerDax: message from Freedom Convoy 2022 https://t.co/WiklcL8rZL,https://pbs.twimg.com/media/FKTo924XsAA0Ui3.png,0
8,Twitter Web App,6,message from Freedom Convoy 2022 https://t.co/WiklcL8rZL,https://pbs.twimg.com/media/FKTo924XsAA0Ui3.png,6
9,Twitter Web App,0,"RT @velopajaro: Holy Shit!

https://t.co/9sPp4OGigQ https://t.co/LQM2b7Ssfp",https://pbs.twimg.com/media/FKTnZHRX0AY82Aw.png,0
10,Twitter for Android,0,"The Freedom Convoy 2022 Instagram account has linked to the Water First GoFundMe in their bio and made several posts about it's progress. The posts could easily give the impression that they organized the fundraiser, which is false but seems to have led to increased donations. https://t.co/wKS5RZPN5S",https://pbs.twimg.com/media/FKToJBrXMAs9DcS.jpg,0
11,Tweetbot for iΟS,6,"As per the GoFundMe page set up for the #TruckerConvoy2022, the protest will continue tomorrow on the Hill. Here is the plan #cdnpoli #ottnews 

https://t.co/h0HzeLA1LE https://t.co/3r1cteC1pl",https://pbs.twimg.com/media/FKTn-wgWQAobGX2.jpg,6
12,SocialRabbit Plugin,0,RAW: Rebels arriving in Ottawa ahead of Freedom Convoy demonstrations https://t.co/JvTn4HT5PZ #truthPeep #lawfulremedy #peacetalk #auspol https://t.co/zvy13Ez6Mm,https://pbs.twimg.com/media/FKTn_zrXsAQrqXp.jpg,0
13,Twitter Web App,2,"Holy Shit!

https://t.co/9sPp4OGigQ https://t.co/LQM2b7Ssfp",https://pbs.twimg.com/media/FKTnZHRX0AY82Aw.png,2
14,Twitter for Android,0,RT @ElCid30639603: 🇨🇦💀   Convoy For Freedom 2022 https://t.co/UznEbJiXNo,https://pbs.twimg.com/media/FKSK-x3XEAo0B26.jpg,0
15,Twitter Web App,1,"1⃣La plataforma ESTADOUNIENSE de financiación colectiva ""GoFundMe"" ha suspendido el acceso a más de 5 millones de dólares canadienses (alrededor de 4 millones de dólares) recaudados por 'Freedom Convoy 2022'. https://t.co/q60XQJEGGn",https://pbs.twimg.com/media/FKTlydFXsAcFTDc.png,1
16,Twitter for Android,0,RT @Lady_Pie45: Freedom Convoy 2022 https://t.co/4iRwEaNDxD,https://pbs.twimg.com/media/FKJDDjiXIAUpFQf.jpg,0
17,Twitter Web App,2,Small town people came out to support Freedom Convoy 2022 in cold Northern Canada. https://t.co/oeqKl99dO4,https://pbs.twimg.com/media/FKTlxSJUcAI83LF.jpg,2
18,Twitter Web App,1,"2nd try today to support Canada's Freedom Day Convoy 2022. 1st round was declined by @CapitalOne stating the merchant is ""suspected of fraud."" This transaction seems to have processed after I contacted them to sort it out ... Give a little if you can👍   https://t.co/uzeV93rS7m https://t.co/5C7xT7ysiw",https://pbs.twimg.com/media/FKTlAoQXwAMHu-w.jpg,1
19,Twitter Web App,0,"https://t.co/vfcXEYuMu9 Impressive turnout in Vernon, BC in support of Freedom Convoy 2022.  At least 400 Canadian Patriots &amp; non-stop honks of support from drivers.  Thank you, truckers &amp; all who have stayed true to Canada, its heritage, &amp; now, its future. Voice of the West. https://t.co/krpTl6pODE",https://pbs.twimg.com/media/FKTjmTwVQAAxuYs.jpg,0
20,Twitter for iPhone,0,"RT @BLNewsMedia: WE ARE LIVE 

https://t.co/wgPe1edziN https://t.co/HFWtQYQeA7",https://pbs.twimg.com/media/FKSn3z5XEAAM-AJ.jpg,0
21,Twitter for iPhone,1,CANADIAN FREEDOM CONVOY 22-01-29 2022 https://t.co/T2F9jhpYsu,https://pbs.twimg.com/media/FKTj9R8UcAI-30o.jpg,1
22,Blog2Social APP,1,"The Canadian Freedom Convoy is now the largest and longest trucker convoy on record at 43 miles long!! 
According to Benjamin Dichter on FOX News, the spokesman for the Freedom Convoy 2022, the massive convoy is 70 kilometers or 43 miles long!

https://t.co/nIHCMRyXm0 https://t.co/W2DiBFw1rX",https://pbs.twimg.com/media/FKTjkd7XMAchsXR.jpg,1
23,Echobox,11,#FreedomConvoy2022 live updates: Somebody desecrates the memory of Terry Fox https://t.co/nggn6kJwz4 https://t.co/Hlid30hvLV,https://pbs.twimg.com/media/FKTiA61WUAUOJJo.jpg,11
